Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47642417,88.69978503,86.24525013,83.64284204,84.63556445,70.67285327,68.54815246,69.38129496,70.86788281,68.56354976,77.94822627,78.11059908,76.7998291,78.18477818,76.27990163,77.5648516,83.7861525,82.43332599,85.34296869,84.60658,72.98080282,70.41928812,71.2555733,74.62640531,,,
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22261788,22.3978569,21.39258005,24.14331404,25.99829415,26.60856257,26.30104341,27.20796078,25.6767807,25.87472891,27.02952203,28.25433939,26.73904559,27.39972946,28.49145898,29.70152209,31.96730501,36.38737455,32.11054758,30.76892666,32.24461687,33.37911867,34.06376036,32.49374322,30.53905107,28.2359454,26.74565986,28.48751076,27.25655907,24.96859329,
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.66360693,23.61687568,20.63828022,20.41126936,21.21534415,22.12332986,20.57752524,22.63656895,22.75690708,22.473942,19.0978589,22.0255902,20.91051562,23.37206363,23.88738254,29.76062985,30.0063769,29.72814077,30.38635626,27.37007531,27.30792244,16.21996385,14.10355487,13.51650615,13.98062542,15.5666606,17.98915749,19.43939502,18.61642531,20.76637912,20.2973987,21.51229612,22.43143986,22.29966917,23.5848569,25.8542911,25.88273507,29.13001713,28.64069164,24.2582996,23.7297354,28.27796977,25.38055735,28.3019277,22.0232114,21.75151908,21.40962852,25.72115099,23.92518958,25.31076974,25.93962281,28.23368185,23.03039576,21.88260319,21.02327018,20.22550583,21.27763642,22.41573171,24.73335548,25.93675956,23.00171364,
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86127827,74.94685096,48.2167467,49.57988943,45.19957883,41.06469436,31.15729583,40.15428452,48.88967943,63.68883933,42.58051724,39.31255941,35.8599672,36.06484639,34.63789626,33.13392129,25.24567072,23.2527214,25.54182093,24.94475303,29.11930951,
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27511148,35.22842897,36.67036856,34.16926739,43.33878759,45.1576132,47.57945205,46.17317459,44.82962655,47.85935563,49.05748251,54.95421469,52.14933338,49.85416579,48.563955,51.97703179,47.57271286,46.95739871,47.19484414,44.53361519,45.83196365,46.62446595,45.23619092,44.97956174,37.85883142,
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.35377014,34.19132665,32.94675841,32.4293614,33.69206064,31.83248601,30.13669649,31.21157844,32.16620789,32.80384417,36.04270118,35.9725545,35.64544702,39.85463506,40.62328508,41.54713451,37.51510333,36.30178956,36.94934574,38.23265552,39.84738323,42.22986157,39.78648468,41.18245937,38.78914098,39.33298921,,
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96756025,50.84287191,64.41405537,69.64565532,73.8086265,61.63511375,61.58938238,64.0028524,64.72816489,68.9314775,74.35082733,75.74463412,75.40941203,66.68065074,70.85061919,,
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.483699779,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.51850312,13.55632492,
